id,area_id,name,description,hint1,hint2,hint3,
AU,Oceania,オーストラリア,ヨーロッパとほぼ同じ大きさの世界最大の島であり、地球で1番小さい大陸。国の91％はオーストラリアならではの植物で覆われており、世界遺産が1番多い国である。広大な自然には多くの動物が暮らしている。その８割が固有種で生息数も多く、カンガルーが人口の3倍生息している。国旗の南十字星はオーストラリアが南半球にあることを示しており、星の数はオーストラリアの６つの州と特別地域を表わしている。,地球で1番小さい大陸,世界遺産が1番多い国,カンガルーが人口の3倍生息している,
NZ,Oceania,ニュージーランド,イギリスと同程度の面積を持つが人口はたったの440万人。羊の数が多く人口の6倍生息している。ニュージーランドの国鳥であるキーウィは「ニュージーランドの」という形容詞として用いられることがある。ラグビーで有名だが、ヨット競技であるセーリングも盛んで強豪国として君臨している。,羊が人口の6倍生息している,国鳥はキーウィ,ラグビーとセーリングが盛ん,
KI,Oceania,キリバス,キリバスは33の島々からなり、赤道付近に350万km2にもわたって散らばっている。そのために世界第3位に相当する排他的経済水域を有している。海面上昇により2050年には25%〜80%が海水に浸食されてしまうと言われている。国旗の海から昇る太陽の図柄は、この国が日付変更線に近く、世界で一番早く太陽が昇る国であることを表している。,世界で一番早く太陽が昇る国,33の島々からなる国,海面上昇により海水に浸食されている,
TV,Oceania,ツバル,"独立国としては、ナウルの次に人口が少ない。海抜が最高でも5メートルと低いため、海面上昇や地盤沈下が起こると国の存在そのものが脅かされることになる。国のトップレベルドメインとして割り振られた“.tv” を5,000万ドルで売却し、この売却益を元に国連加盟を果たした。国旗の星はツバルの9つの島々を表し、旗が縦に掲揚されたときに地理的に正しく配置されるようデザインされている。",2番目に人口が少ない国,海抜が最高で5メートル,国のトップレベルドメインを売却した,
IT,Europe,イタリア,ヨーロッパにおける古代文化の発祥地の一つとして知られ、同時に世界的な文化大国の一国に数えられている。文化・学問・宗教で歴史的に影響力を発揮しており、バチカン市国を首都ローマの領域内に事実上保護し、レオナルド・ダ・ヴィンチやガリレオ、ミケランジェロ、コロンブス、マキャヴェリといった偉人たちの故国でもある。,軍事面では、世界第8位の軍事力を有している,海岸部ではときにボラ（冬の北東季節風）の影響が及んで冷たい潮風が吹きつける,火山国でもあり、特に中部と南部ではしばしば地震が起こる,
NR,Oceania,ナウル,世界で3番目に小さな国連加盟国。かつてはリン鉱石の輸出によって栄え、1980年代には太平洋地域で最も高い生活水準を享受し、公共料金や税金は無料だった。この影響か、肥満者が多く、糖尿病患者の割合が多い。国旗のデザインはナウルの地理的位置を示している。黄色の横線は赤道、青地は太平洋、白い星はナウルを表す。星の12本の光はナウルの12の原住民族を象徴している。,世界で3番目に小さな国連加盟国,公共料金や税金が無料の時期があった,国旗はこの国の地理的位置を示している,
PG,Oceania,パプアニューギニア,ニューギニア島の東半分及び周辺の島々からなる国。元々あったパプアとニューギニアが合併してできた。500の部族と869の部族語が飛び交う部族国家でワントク社会と呼ばれる強い一族共同体意識により、それ以外は部外者とみなされるため、部族間抗争が絶えない。国旗は独立を前に行われた公募コンテストで選ばれたもので、黄色い鳥は国鳥の極楽鳥を表している。,ニューギニア島の東半分及び周辺の島々からなる,500の部族と869の部族語が飛び交う部族国家,部族間抗争が絶えない国,
PW,Oceania,パラオ,太平洋ミクロネシア地域の約300の島々からなる国で、人口は世界で4番目に少ない。親日国家で日本語を公用語として採用している州があることでも知られる。自然が豊かで、日本と時差がないため観光地として人気。国旗はデザインを決めるコンテストで優勝したものである。黄色の部分は月を表し、日の丸を特別意識したわけではないと国旗デザイン者は語っている。,約300の島々からなる国,日本語を公用語として採用している州がある,人口は世界で4番目に少ない,
MH,Oceania,マーシャル諸島,「真珠の首飾り」と呼ばれる29の環礁と5 つの島からなる国。ファミリーマートが存在するが偽物。国旗のデザインはマーシャル諸島の地理的位置を示している。白とオレンジ色の斜線は赤道、青地は太平洋、白の太平洋はマーシャル諸島を表す。太陽の24本の光は24の地区を表し、４本が長いことでキリスト教の十字架を示している。,「真珠の首飾り」と呼ばれる国,偽物のファミリーマートがある,国旗のデザインはこの国の地理的位置を示している,
CK,Oceania,クック諸島,太平洋に点在する15の主要な島からなり、北部の諸島に6つの環礁、南部の諸島に珊瑚礁で囲まれた7つの火山島と2つの環礁がある。観光地化が進んでおらず、未開発の状態ゆえに「最後の楽園」と形容されることが多い。ニュージーランドと自由連合関係にあるため、島民はニュージーランド国籍を有している。国旗の星はクック諸島を構成する15の島を表している。,「最後の楽園」と形容される,島民はニュージーランド国籍を有している,太平洋に点在する15の主要な島からなる国,
TO,Oceania,トンガ,171の島からなる群島であり、そのうち45が居住地であるが、人工の70％が本島に居住している。トンガ人は「ガリバー旅行記」の巨人国のモデルといわれる大柄な民族。人工の約8割以上の人が肥満で、男女ともに肥満率は世界第1位である。過去の国旗がスイスの国旗と酷似していたため変更を余儀なくされたという歴史がある。,「ガリバー旅行記」の巨人国のモデル,男女ともに肥満率が世界第1位である,人工の約8割以上の人が肥満,
CU,LatinAmericaandCaribbean,キューバ,カリブ海にある島国で、内陸部には山脈が走り数多くの世界遺産がる。カリブ海沿岸にはビーチリゾートが点在している。通貨は外国人がつかうCUCとキューバ国民が使うCUPの2種類が存在している。アメリカと約50年もの間、国交が断絶していたが、2016年に国交が正常化された。この影響からキューバの街には50～60年代のクラシックカーが走っている。,カリブ海にある島国,通貨が2種類存在する,街にはクラシックカーが走っている,
CR,LatinAmericaandCaribbean,コスタリカ,北米と南米の合流地点として、様々な生態系が集まる世界でも有数の自然大国。「ジュラシック･パーク」の舞台として有名。国土の4分の1を国立公園や自然保護区に指定し、動植物を守る活動やエコツーリズムの推進に力を入れている。国内電力の98％以上が再生可能エネルギーによって供給されている。地球幸福度指数で4回連続1位に輝き、世界一幸せの国と呼ばれる。,「ジュラシック･パーク」の舞台,国内電力の98％以上が再生可能エネルギー,世界一幸せの国と呼ばれる,
BO,LatinAmericaandCaribbean,ボリビア,"国土には4,000ｍ以上の山々が連なるアンデス山脈等の高地のほか、渓谷や熱帯雨林、サバンナを有するなど、豊かな自然環境に恵まれている。ウユニ塩湖が観光地として人気である。憲法上の首都はスクレだが、ラパスが実質的な首都機能を担っている。ラパスは標高3600メートルで、世界で最も高所にある首都となっている。",ウユニ塩湖が観光地として人気,世界で最も高所にある首都がある,アンデス山脈の高地の上に都市が存在する,
SE,Europe,スウェーデン,スウェーデンの面積は日本よりやや広く、日本全土に北海道をもうひとつ足した程度である。面積のわりに人口が少なく、スウェーデンの総人口は約1045万人と日本の12分の1程度であり、東京23区と同じくらいである。民主主義の成熟性が高く評価されており、エコノミスト誌傘下の研究所エコノミスト・インテリジェンス・ユニットによる民主主義指数は、ノルウェーとアイスランドに次ぐ世界3位で「完全な民主主義」に分類されている。,属する大陸内で人種差別の程度が最も低い国である,世界一臭い食べ物といわれるシュールストレミングが有名である,全て手で彫られた氷の家具を用いたアイスホテルというホテルがある,
DK,Europe,デンマーク,有史以前から人が住んでいたとされている。氷期の到来によって人はこの地を追われるが、紀元前12000年頃から人が住み続けていると考えられている。農業は紀元前3000年頃始まったといわれる。社会はグローバル化とデジタル化が進んでおり、それは家庭と企業活動において多大な利益をもたらしている。デンマークは欧州において最もデジタル化された社会である。,有名な童話は「裸の王様」と「マッチ売りの少女」,チボリ公園という170年以上の歴史がある老舗遊園地がある,LEGOの創業国,
NO,Europe,ノルウェー,"首都は半島南端部に存在するオスロ・フィヨルドの奥に形成された港湾都市のオスロ。欧州連合(EU)には非加盟である。人口は500万人ほどで約9割がキリスト教徒である。考古学上の発見が示すところによると、ノルウェーには約12,000年前には人が住んでいた。彼らはおそらくもっと南の地域、ドイツ北部からやってきて、海岸線に沿ってさらに北上したと考えられている。",2008年より、同性同士の婚姻（同性結婚）が可能となっている,ソグネフィヨルデンと言われる世界で最も深いフィヨルドがある,サーモンを大量に輸出し、食べることで知られている,
CH,Europe,スイス,永世中立国である。ドイツ、フランス、イタリア、オーストリア、リヒテンシュタインに囲まれた内陸に位置し、国内には多くの国際機関の本部が置かれている。首都はベルン。,「アルプスの少女ハイジ」で有名,チーズフォンデュやチョコが有名,嘆きのライオンといわれる岩肌に彫られたライオンの彫刻がある,
CZ,Europe,チェコ,国体が常に激しく変化して来た歴史を持つ国家の一つである。かつてはチェコスロバキアと呼ばれた共産主義体制国家の構成地域であったが、1989年からの革命によってその体制が崩壊したことから、1993年にチェコとスロバキアへ分離して現在の同国が成立した。,一人あたりのビール年間消費量が世界一で水よりもビールが安いと言われている,「ダンシング ハウス」という捻じ曲がった建造物が存在する,プラハには「建築博物館の街」と言われる中世の街並みが広がっている,
BG,Europe,ブルガリア,ヨーロッパの共和制国家である。 バルカン半島に位置し、首都はソフィアである。トラキアで紀元前4000年頃のものと思われる黄金製品の遺物を多数持つ遺跡群が確認されており、考古学者の間で新しい「文明」なのではないかと論じられている。,世界有数のバラの産地,ヨーグルトが有名,隠れた温泉大国で約700もの温泉があり、テルマエロマエの撮影にも使われた,
ME,Europe,モンテネグロ,21世紀に独立を果たした国家の一つに数えられている。前身はユーゴスラビア紛争によるユーゴスラビア社会主義連邦共和国の解体によって成立したユーゴスラビア連邦共和国（1992年-2003年）およびセルビア・モンテネグロ（2003年-2006年）を構成する2つの共和国のうちのひとつ、モンテネグロ共和国であった。モンテネグロ共和国は2006年6月3日に独立を宣言し、現在の同名国家となる形で消滅した。,旧市街に古代の「城壁」、世界遺産の街コトルがある,面積が日本の福島県とほぼ同程度である,国名はイタリア語で「黒い山」を意味する,
HR,Europe,クロアチア,南ヨーロッパ、バルカン半島にある共和制国家である。首都はザグレブ。ユーゴスラビアを構成していたが、1991年に独立した。サッカーが有名でFIFAワールドカップ2018年大会では初となる決勝進出を果たし、準優勝に輝いた。キャプテンのルカ・モドリッチは、同大会でゴールデンボール（最優秀選手）を受賞し、さらに同年にはFIFA最優秀選手賞とバロンドールも獲得している。,近年サッカーで力をつけていてFIFAワールドカップ2018年大会で準優勝している,ネクタイ、ダルメシアンが発祥の国,マグロを養殖していて主に日本に輸出している,
GR,Europe,ギリシャ,"ギリシャの人口は約1,081万人、面積は日本の約3分の1である。アテネは首都および最大都市であり、テッサロニキは第2の都市および中央マケドニアの州都である。ヨーロッパの南東端にあり、アジアおよびアフリカとの交差点にある。",世界遺産であるアクロポリス遺跡がある,空中に吊り上げられ浮かんでいるような岩の塔である「メテオラ」がある,オリンピック発祥の地,
UA,Europe,ウクライナ,旧ソ連の構成国で1991年に独立した。黒海に突き出したクリミア半島では、地中海特有の温暖な冬と暑くて乾燥した夏の気候があらわれる。国土の中央を流れるドニエプル川のほか、国内を縦横に大きな河川が流れ、水資源が豊富で河川交通にも利用されている。国土の7割以上が農地で、とくにドニエプル川流域は肥沃な黒土（チェルノーゼム）地帯で世界的な穀倉地帯の一つである。,近年ロシアが軍事侵攻を行った,「ソフィア大聖堂」という世界遺産の教会がある,近年観光スポットとして「愛のトンネル」と呼ばれるトンネルが有名である,
RU,Europe,ロシア,ロシア連邦は、ユーラシア大陸北部に位置する連邦共和制国家である。首都はモスクワ市。領土は旧ロシア帝国およびソビエト連邦の大半を引き継いでおり、ヨーロッパからシベリア・極東に及ぶ。面積は1709万平方キロメートル以上と世界最大である。,"「バイカル湖」と呼ばれる2,500万年前に海から切り離されて誕生した世界最古の湖がある",民芸品にマトリョーシカがある,世界で初めて人間を宇宙へと送り出した国である,
AT,Europe,オーストリア,中央ヨーロッパに位置する連邦共和制国家で首都はウィーン。中欧に650年間ハプスブルク家の帝国として君臨し、第一次世界大戦まではイギリス、フランス、ドイツ、ロシアと並ぶ欧州五大国、列強の一角を占めていた。音楽を中心に文化大国としての歴史も有する。,総人口が約880万人で約98%がドイツ語を母国語とする,モーツァルトの生誕地,パリやミラノと並ぶヨーロッパ3大オペラ劇場のひとつである「国立オペラ座」がある,
NL,Europe,オランダ,オランダは世界において、報道の自由、経済的自由、人間開発指数、クオリティ・オブ・ライフの最上位国の一つである。古くより他国で思想・信条を理由として迫害された人々を受け入れることで繁栄してきたという自負があるため、何ごとに対しても寛容であることが最大の特徴といえる。2019年5月の欧州連合人種差別報告書によると、オランダはスウェーデンと並んで、欧州連合の中でアジア人に対する差別が最も少ない国となっている。,チューリップが国花である,世界遺産に風車のキンデルダイクがある,ゴッホの誕生国,
ES,Europe,スペイン,ヨーロッパ南西部のイベリア半島に位置するスペインは、年間を通して晴れの日が多く、じめじめすることがない気候で、とても過ごしやすい国である。「情熱の国」とも表現される。世界遺産の登録数は2021年時点で49ヵ所と世界第4位であり、アルハンブラ宮殿のある南部の都市グラナダや、サグラダ・ファミリアに代表されるガウディ作品が見られる北東部の都市バルセロナには世界各地から観光客が訪れる。,「トマト祭り」と呼ばれる祭典がある,未完の世界遺産「サグラダ・ファミリア」がある,「シエスタ」という風習がある,
PT,Europe,ポルトガル,"北と東にスペインと国境を接し、国境線の総延長は1,214kmに及ぶ。首都はリスボン。ヨーロッパでいち早く海外進出した国である。最初に中国や日本などの東アジアと接触した国でもある。",サッカー選手クリスティアーノ・ロナウドの母国,ワインボトルの栓などに使われる「コルク」が特産品である,ポートワインが有名である,
FR,Europe,フランス,西ヨーロッパに位置する共和制国家。首都はパリ。地中海沿岸にミニ国家のモナコがある。数多くの世界遺産を抱えており、世界で最も観光客の多い国の一つである。経済大国であり、農産物輸出額でも世界トップクラス。ＥＵの中で最大の農業大国である。,首都パリは「芸術の都」と呼ばれる,エッフェル塔がある,ルーヴル美術館がある,
DE,Europe,ドイツ,中央ヨーロッパに位置する連邦共和制国家。首都および人口が最大の都市はベルリン。欧州大陸における政治的・経済的な主要国であり、歴史上、多くの文化・科学・技術分野における重要な指導国でもある。人口は約8300万人で、これは欧州連合において最大である。欧州の大国「ビッグ4」や列強の一国に数えられ、ドイツは世界第1位の移住地である。,ビールとソーセージが有名である,「白鳥城」とも呼ばれるノイシュヴァンシュタイン城がある,「ベルリンの壁」がある,
BE,Europe,ベルギー,首都ブリュッセル（ブリュッセル首都圏地域）は欧州連合（EU）の主要機関の多くが置かれているため「EUの首都」とも言われており、その通信・金融網はヨーロッパを越えて地球規模である。オランダ，ルクセンブルクと合わせて「ベネルクス」と呼ばれている。,「EUの首都」と呼ばれている,チョコレートやワッフルが有名,世界遺産のブルージュ歴史地区がある,
